publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
A JOURNAL OF NEUROLOGY	0006-8950	1460-2156	1933	56	2	1933	56	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2331383135343334343138				fulltext		
Abstracts of Working Papers in Economics	0951-0079	1471-6410	1986	1	1	1992	10	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2334323336303131393837				fulltext		
Abstracts of Working Papers in Economics	0951-0079	1471-6410	1994	11	1	2004	21	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=33313632333733323236%2334323336303131393837				fulltext		
Adolescence	0001-8449		1966	1	1	1995	30	120	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%23333938343838393132				fulltext		
Advanced Composite Materials	0924-3046	1568-5519	1991	1	1	2008	17	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2333303234383130343034				fulltext		
Advanced Powder Technology	0921-8831	1568-5527	1990	1	2	1991	2	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331333038313036313236				fulltext		
Advanced Powder Technology	0921-8831	1568-5527	1993	4	1	1995	6	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331333038313036313236				fulltext		
Advanced Powder Technology	0921-8831	1568-5527	1999	10	3	2008	19	5	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331333038313036313236				fulltext		
Advanced Robotics	0169-1864	1568-5535	1987	2	4	1989	4	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%23313933353136333338				fulltext		
Advanced Robotics	0169-1864	1568-5535	1991	6	1	1991	6	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%23313933353136333338				fulltext		
Advanced Robotics	0169-1864	1568-5535	1993	8	2	1995	10	6	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%23313933353136333338				fulltext		
Advanced Robotics	0169-1864	1568-5535	1997	12	5	2008	22	12	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%23313933353136333338				fulltext		
Africa Report	0001-9836		1960	5		1995	40	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2333383931323632343639				fulltext		
Africa Special Report	0001-9836		1956	1	1	1959	4		https://journalarchives.jisc.ac.uk/results?tab=title&jid=393239333234383430%2331373634393236333535				fulltext		
African Affair	0001-9909	1468-2621	1962	61	242	1962	61	245	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%2333303336353430353530				fulltext		
African Affairs	0001-9909	1468-2621	1901	1	I	1906	5	XVIII	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%23353236343536303438				fulltext		
African Affairs	0001-9909	1468-2621	1943	42	166	1961	60	241	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%23353236343536303438				fulltext		
African Affairs	0001-9909	1468-2621	1963	62	246	1995	94	377	https://journalarchives.jisc.ac.uk/results?tab=title&jid=32383434363238333739%23353236343536303438				fulltext		
African and Asian Studies	1569-2094	1569-2108	1966	1	1	1966	1	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331353231383938313034				fulltext		
African and Asian Studies	1569-2094	1569-2108	1968	3	1	1968	3	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331353231383938313034				fulltext		
African and Asian Studies	1569-2094	1569-2108	1971	6	2	1973	8	1	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331353231383938313034				fulltext		
African and Asian Studies	1569-2094	1569-2108	1975	10	1	1988	23	3	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331353231383938313034				fulltext		
African and Asian Studies	1569-2094	1569-2108	1990	25	1	2009	8	4	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2331353231383938313034				fulltext		
African Diaspora	1872-5457	1872-5465	2008	1	1-2	2009	2	2	https://journalarchives.jisc.ac.uk/results?tab=title&jid=34303136393236303336%2333343239363738383237				fulltext		
