publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
Abstracts of Working Papers in Economics	0951-0079	1471-6410	1986	1	1	1992	10	4	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/PYE.html				fulltext			
Abstracts of Working Papers in Economics	0951-0079	1471-6410	1994	11	1	2004	21	1	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/PYE.html				fulltext			
Adolescence	0001-8449		1966	1	1	1995	30	120	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/c010.html				fulltext			
Advanced Composite Materials	0924-3046	1568-5519	1991	1	1	2008	17	3	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/09243046.html				fulltext			
Advanced Powder Technology	0921-8831	1568-5527	1990	1	2	1991	2	3	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/09218831.html				fulltext			
Advanced Powder Technology	0921-8831	1568-5527	1993	4	1	1995	6	2	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/09218831.html				fulltext			
Advanced Powder Technology	0921-8831	1568-5527	1999	10	3	2008	19	5	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/09218831.html				fulltext			
Advanced Robotics	0169-1864	1568-5535	1987	2	4	1989	4	3	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/01691864.html				fulltext			
Advanced Robotics	0169-1864	1568-5535	1991	6	1	1991	6	4	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/01691864.html				fulltext			
Advanced Robotics	0169-1864	1568-5535	1993	8	2	1995	10	6	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/01691864.html				fulltext			
Advanced Robotics	0169-1864	1568-5535	1997	12	5	2008	22	12	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/01691864.html				fulltext			
Africa Special Report	0001-9836		1956	1	1	1995	40	3	http://www.jiscjournalarchives.ac.uk/browse/proquest/titles/6013.html				fulltext			
African Affairs	0001-9909	1468-2621	1901	1	I	1906	5	XX	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/afrafj.html				fulltext			
African Affairs	0001-9909	1468-2621	1943	42	166	1995	94	377	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/afrafj.html				fulltext			
African and Asian Studies	1569-2094	1569-2108	1966	1	1	1966	1	4	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/15692094.html				fulltext			
African and Asian Studies	1569-2094	1569-2108	1968	3	1	1968	3	1	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/15692094.html				fulltext			
African and Asian Studies	1569-2094	1569-2108	1971	6	2	1973	8	1	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/15692094.html				fulltext			
African and Asian Studies	1569-2094	1569-2108	1975	10	1	1988	23	3	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/15692094.html				fulltext			
African and Asian Studies	1569-2094	1569-2108	1990	25	1	2008	7	4	http://www.jiscjournalarchives.ac.uk/browse/brill/titles/15692094.html				fulltext			
AJS Review	0364-0094	1475-4541	1984	9	1	1999	24	2	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/AJS.html				fulltext			
AJS Review	0364-0094	1475-4541	2001	25	1	2001	25	1	http://www.jiscjournalarchives.ac.uk/browse/cup/titles/AJS.html				fulltext			
Alcohol and Alcoholism	0735-0414	1464-3502	1963	1	1	1995	30	6	http://www.jiscjournalarchives.ac.uk/browse/oup/titles/alcalc.html				fulltext			
